MLA Name,Split,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,AUC_train,AUC_test,Balanced Accuracy_train,Balanced Accuracy_test
RandomForestClassifier_MutualInfo_15_ADASYN,6.0,0.8965517241379309,0.782608695652174,0.9149134199134199,0.0,0.8742857142857143,0.0,0.8904761904761905,0.0,0.9552380952380952,0.6888888888888889,0.8966666666666667,0.5
RandomForestClassifier_MutualInfo_15_SMOTE,9.0,0.8970114942528735,0.7391304347826086,0.9348039215686275,0.0,0.8600000000000001,0.0,0.8897568829020444,0.0,0.924,0.6833333333333333,0.8957142857142857,0.4722222222222222
RandomForestClassifier_MutualInfo_10_SMOTE-TOMEK,7.0,0.8903448275862068,0.7391304347826086,0.9130952380952382,0.3333333333333333,0.8609523809523811,0.2,0.8823364584988612,0.25,0.9571111111111111,0.6777777777777778,0.8895238095238096,0.5444444444444444
XGBClassifier_MutualInfo_10_SMOTE,4.0,0.8556321839080461,0.6956521739130435,0.8335574229691876,0.375,0.8885714285714286,0.6,0.859051724137931,0.46153846153846156,0.9230476190476191,0.6777777777777778,0.8557142857142856,0.6611111111111111
RandomForestClassifier_MutualInfo_10_SMOTE-TOMEK,6.0,0.8836781609195402,0.782608695652174,0.9116117216117215,0.5,0.8495238095238096,0.2,0.8785246936971076,0.2857142857142857,0.9501587301587302,0.6777777777777778,0.8838095238095238,0.5722222222222222
RandomForestClassifier_None_10_BorderlineSMOTE,6.0,0.93816091954023,0.782608695652174,0.9580952380952382,0.0,0.9180952380952381,0.0,0.9373873380769933,0.0,0.9473650793650794,0.6777777777777778,0.9380952380952381,0.5
RandomForestClassifier_None_10_None,2.0,0.8023391812865498,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.5279365079365079,0.6777777777777778,0.5,0.5
RandomForestClassifier_MutualInfo_20_SMOTE,7.0,0.8703448275862069,0.7391304347826086,0.8724089635854341,0.3333333333333333,0.8752380952380954,0.2,0.8712627889352028,0.25,0.9573968253968255,0.6777777777777778,0.8695238095238096,0.5444444444444444
RandomForestClassifier_MutualInfo_25_None,0.0,0.8023391812865498,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.6259523809523809,0.6777777777777778,0.5,0.5
LogisticRegression_MutualInfo_20_ADASYN,8.0,0.7310344827586206,0.6956521739130435,0.7169929348257521,0.25,0.7657142857142858,0.2,0.7352716101103198,0.2222222222222222,0.82,0.6777777777777778,0.7328571428571429,0.5166666666666667
RandomForestClassifier_RFE_25_None,6.0,0.8023391812865498,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.6304761904761904,0.6777777777777778,0.5,0.5
LogisticRegression_MutualInfo_20_ADASYN,1.0,0.7985221674876847,0.6521739130434783,0.7586324786324786,0.2857142857142857,0.8866666666666667,0.4,0.8102198455139632,0.3333333333333333,0.7997959183673469,0.6777777777777778,0.7985714285714286,0.5611111111111111
LogisticRegression_MutualInfo_15_ADASYN,0.0,0.7333333333333334,0.5652173913043478,0.7117627401837927,0.14285714285714285,0.8175000000000001,0.2,0.7588814250883216,0.16666666666666666,0.7692619047619048,0.6777777777777778,0.7297023809523809,0.43333333333333335
SVC_MutualInfo_15_ADASYN,0.0,0.9,0.6521739130434783,0.8759502923976609,0.2857142857142857,0.9491666666666667,0.4,0.9096739282223153,0.3333333333333333,0.9349206349206348,0.6777777777777778,0.8983928571428571,0.5611111111111111
XGBClassifier_RFE_15_ADASYN,2.0,0.9079569892473118,0.7391304347826086,0.8857323232323232,0.4,0.96,0.4,0.9175017305089591,0.4,0.9553015873015873,0.6777777777777778,0.9057142857142857,0.6166666666666667
RandomForestClassifier_MutualInfo_15_SMOTE-TOMEK,7.0,0.9179310344827586,0.7391304347826086,0.9330952380952381,0.3333333333333333,0.9038095238095238,0.2,0.9170472776924388,0.25,0.9671428571428573,0.6666666666666667,0.9180952380952381,0.5444444444444444
RandomForestClassifier_RFE_25_RandomUnderSampler,9.0,0.5571428571428572,0.5652173913043478,0.6166666666666666,0.3076923076923077,0.5666666666666667,0.8,0.5380952380952381,0.4444444444444444,0.6000000000000001,0.6666666666666667,0.5583333333333333,0.65
SVC_None_10_None,1.0,0.7584795321637426,0.6956521739130435,0.25,0.0,0.11666666666666665,0.0,0.15,0.0,0.37626984126984125,0.6666666666666667,0.5169047619047619,0.4444444444444444
SVC_MutualInfo_20_None,8.0,0.8251461988304094,0.782608695652174,0.5666666666666667,0.0,0.3,0.0,0.3771428571428571,0.0,0.6551587301587303,0.6666666666666667,0.63,0.5
SVC_MutualInfo_25_RandomUnderSampler,3.0,0.5035714285714287,0.30434782608695654,0.5023809523809524,0.17647058823529413,0.45,0.6,0.40714285714285714,0.2727272727272727,0.4791666666666667,0.6666666666666667,0.5166666666666666,0.4111111111111111
XGBClassifier_MutualInfo_15_ADASYN,7.0,0.8539408866995073,0.7391304347826086,0.8362145748987853,0.0,0.8904761904761905,0.0,0.857330613192682,0.0,0.9308163265306122,0.6666666666666667,0.8547619047619047,0.4722222222222222
XGBClassifier_RFE_25_ADASYN,6.0,0.8896551724137932,0.6521739130434783,0.8922619047619047,0.0,0.9028571428571428,0.0,0.8950468885952757,0.0,0.9314285714285715,0.6666666666666667,0.8880952380952382,0.4166666666666667
XGBClassifier_MutualInfo_10_BorderlineSMOTE,9.0,0.8970114942528735,0.7391304347826086,0.9112820512820512,0.4,0.8895238095238096,0.4,0.8952237647410062,0.4,0.9381587301587302,0.6666666666666667,0.8961904761904762,0.6166666666666667
LogisticRegression_MutualInfo_10_None,8.0,0.6058479532163743,0.6086956521739131,0.27666666666666667,0.25,0.6,0.4,0.3746031746031746,0.3076923076923077,0.6935714285714286,0.6666666666666667,0.6,0.5333333333333333
RandomForestClassifier_MutualInfo_15_RandomUnderSampler,9.0,0.7750000000000001,0.43478260869565216,0.6933333333333334,0.2777777777777778,0.6833333333333333,1.0,0.6692063492063492,0.43478260869565216,0.7041666666666667,0.6666666666666666,0.7416666666666666,0.6388888888888888
SVC_MutualInfo_15_None,2.0,0.6385964912280702,0.5652173913043478,0.21000000000000002,0.0,0.3333333333333333,0.0,0.25,0.0,0.40619047619047616,0.6666666666666666,0.5219047619047619,0.3611111111111111
SVC_MutualInfo_10_BorderlineSMOTE,0.0,0.9041379310344828,0.7391304347826086,0.8678221288515406,0.3333333333333333,0.9580952380952381,0.2,0.9094679514034352,0.25,0.9543492063492064,0.6666666666666666,0.9042857142857145,0.5444444444444444
