MLA Name,Split,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,AUC_train,AUC_test,Balanced Accuracy_train,Balanced Accuracy_test
XGBClassifier_MutualInfo_20_None,4.5,0.7621052631578947,0.6347826086956522,0.361,0.10595238095238095,0.30333333333333334,0.12000000000000002,0.31036507936507934,0.11006216006216005,0.6129087301587302,0.38666666666666666,0.5895238095238095,0.4488888888888889
LogisticRegression_RFE_20_BorderlineSMOTE,4.5,0.9370804597701149,0.6217391304347826,0.9286922131875691,0.16555555555555554,0.9539047619047618,0.22000000000000003,0.9390987453104185,0.1864735264735265,0.9756190476190476,0.38666666666666666,0.9370952380952382,0.4766666666666667
XGBClassifier_None_10_None,4.5,0.7805263157894737,0.7347826086956522,0.16704761904761906,0.0,0.08499999999999999,0.0,0.09993650793650795,0.0,0.4013928571428571,0.38555555555555554,0.5186904761904761,0.46944444444444444
XGBClassifier_MutualInfo_25_RandomUnderSampler,4.5,0.6339285714285714,0.3521739130434783,0.6523333333333333,0.17316624895572263,0.6683333333333332,0.56,0.6306349206349207,0.2614338788146838,0.6258333333333332,0.3844444444444445,0.6375,0.4272222222222222
XGBClassifier_RFE_15_SMOTE,4.5,0.8850114942528735,0.608695652173913,0.8761408428173134,0.1376190476190476,0.9054285714285714,0.14,0.8874035731293797,0.1362121212121212,0.9418984126984128,0.38333333333333336,0.8850952380952382,0.43944444444444447
XGBClassifier_RFE_15_SMOTE-TOMEK,4.5,0.8850114942528735,0.608695652173913,0.8761408428173134,0.1376190476190476,0.9054285714285714,0.14,0.8874035731293797,0.1362121212121212,0.9418984126984128,0.38333333333333336,0.8850952380952382,0.43944444444444447
LogisticRegression_RFE_15_ADASYN,4.5,0.9280464537316595,0.5782608695652174,0.9162224868354899,0.06444444444444444,0.9486309523809524,0.08,0.929714546036649,0.07064935064935066,0.9726498299319729,0.38333333333333336,0.9278392857142859,0.3983333333333333
LogisticRegression_MutualInfo_10_ADASYN,4.5,0.6752577467026855,0.5086956521739131,0.6569519741524386,0.13968253968253969,0.7567738095238095,0.32,0.696148511385739,0.19235588972431078,0.6986151360544218,0.38333333333333336,0.6756726190476191,0.4405555555555556
RandomForestClassifier_RFE_20_SMOTE-TOMEK,4.5,0.9224367816091954,0.717391304347826,0.9307233208827637,0.12,0.9176190476190476,0.08,0.9217699206772032,0.09301587301587302,0.9691428571428572,0.38333333333333336,0.9221904761904762,0.48722222222222217
RandomForestClassifier_RFE_20_SMOTE,4.5,0.9224367816091954,0.717391304347826,0.9307233208827637,0.12,0.9176190476190476,0.08,0.9217699206772032,0.09301587301587302,0.9691428571428572,0.38333333333333336,0.9221904761904762,0.48722222222222217
